회사명,기준인물,상대인물,LLM_관계유형,LLM_가족여부
DB,"문덕식,강운식 (각자 대표이사)",김준기,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김주원,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김남선,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",윤대근,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김정림,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",임주웅,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김명자,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김명희,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김병직,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김병은,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",김두연,기타가족,가족으로 예상됨
DB,"문덕식,강운식 (각자 대표이사)",강운식,기타가족,가족으로 예상됨
