회사명,기준인물,상대인물,LLM_관계유형,LLM_가족여부
LF,"오규식, 김상균 (각자 대표이사)",구본걸,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",오규식,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구경모,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구민정,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구본순,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구본영,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구본진,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구성모,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구수연,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구숙희,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",LEE EUN YOUNG,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",구지수,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",엄혜정,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",이숙현,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",이승은,기타가족,가족으로 예상됨
LF,"오규식, 김상균 (각자 대표이사)",이재원,기타가족,가족으로 예상됨
